"","order","family","species","common_name","Neritic_Oceanic","Bentho_Pelagic","feeding_strategy","trophic_level","IUCN","fisheries_interest","G.GI","method","N","n_fish_ingested","FO","binary"
"183","Perciformes","Lethrinidae","Lethrinus microdon","Smalltooth emperor","N",NA,"BP",3.8,"LC","Y","GI","3","10","2",20,1
"184","Perciformes","Lethrinidae","Lethrinus obsoletus","Orange-striped emperor","N",NA,"BP",3.9,"NE","Y","GI","3","30","4",13.33,1
"185","Perciformes","Lutjanidae","Lipocheilus carnolabrum","Tang's snapper","N",NA,"BP",3.9,"LC","Y","GI","3","7","2",28.57,1
"186","Perciformes","Lutjanidae","Lutjanus analis","Mutton snapper","N",NA,"BP",3.9,"NT","Y","GI","2","3","1",33.33,1
"187","Perciformes","Lutjanidae","Lutjanus gibbus","Humpback red snapper","N","BP","BP",4.1,"LC","Y","GI","3","29","6",20.69,1
"188","Perciformes","Lutjanidae","Lutjanus jocu","Dog snapper","N",NA,"BP",4.4,"NE","Y","G ","2","5","0",0,0
"189","Perciformes","Lutjanidae","Lutjanus kasmira","Bluestripe snapper","N",NA,"BP",3.9,"LC","Y","GI ","3","12","2",16.67,1
"190","Perciformes","Lutjanidae","Lutjanus synagris","Lane snapper","N",NA,"BP",3.8,"NT","Y","GI","2","2","1",50,1
"191","Perciformes","Lutjanidae","Pristipomoides multidens","Gold banded jobfish","N",NA,"BP",3.8,"LC","Y","GI","3","10","2",20,1
"192","Perciformes","Lutjanidae","Pristipomoides typus","Sharptooth jobfish","N",NA,"BP",4.2,"LC","N","GI","3","5","0",0,0
"193","Perciformes","Malacanthidae","Branchiostegus japonicus","Horsehead tilefish","N",NA,"P",3.4,"LC","Y","GI","3","18","18",100,1
"194","Perciformes","Moronidae","Dicentrarchus labrax","European seabass","N",NA,"BP",3.5,"LC","Y","GI","3","40","9",22.5,1
